wandb: Detected [openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
Checkpoint tracker file does not exist: /home/ykwang/mtdata2/DRRO/drro_delta0.25/latest_checkpointed_iteration.txt
Training from scratch
("Initial validation metrics: {'val/proxy_mean': 0.5901941820190473, "
 "'val/gold_mean': 2.0586345523443015, 'val/kl': 0.0}")
step:0 - val/proxy_mean:0.5901941820190473 - val/gold_mean:2.0586345523443015 - val/kl:0.0
Training Progress:   6%|▌         | 31/500 [29:54<7:30:48, 57.67s/it]
step:269 - global_seqlen/min:3695 - global_seqlen/max:3712 - global_seqlen/minmax_diff:17 - global_seqlen/balanced_min:3703 - global_seqlen/balanced_max:3704 - global_seqlen/mean:3703.5 - actor/entropy:1.0123950242996216 - perf/mfu/actor_infer:0 - actor/pg_loss:8.41100700199604e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.5796977877616882 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:29.559040069580078 - actor/lr:1e-05 - training/global_step:269 - training/epoch:0 - train/reward_mean:2.593110668938607 - critic/score/mean:2.5931107997894287 - critic/score/max:5.0855712890625 - critic/score/min:-1.3350162506103516 - critic/rewards/mean:2.5931107997894287 - critic/rewards/max:5.0855712890625 - critic/rewards/min:-1.3350162506103516 - critic/advantages/mean:-0.019273364916443825 - critic/advantages/max:1.5634595155715942 - critic/advantages/min:-2.2387938499450684 - critic/returns/mean:-0.019273364916443825 - critic/returns/max:1.5634595155715942 - critic/returns/min:-2.2387938499450684 - response_length/mean:91.984375 - response_length/max:96.0 - response_length/min:65.0 - response_length/clip_ratio:0.734375 - response_length_non_aborted/mean:91.984375 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:65.0 - response_length_non_aborted/clip_ratio:0.734375 - response/aborted_ratio:0.0 - prompt_length/mean:23.75 - prompt_length/max:57.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:9.455205872654915e-05 - timing_s/agent_loop/generate_sequences/min:0.9585852960590273 - timing_s/agent_loop/generate_sequences/max:4.558745607035235 - timing_s/agent_loop/generate_sequences/mean:2.056891516502219 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.558745607035235 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:11 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:11.083406032063067 - timing_s/reward:0.22028861800208688 - timing_s/old_log_prob:9.606416005059145 - timing_s/adv:0.003975472995080054 - timing_s/update_actor:34.65342297498137 - timing_s/step:55.59104411199223 - timing_s/stop_profile:0.00011479295790195465 - timing_per_token_ms/gen:1.8826916990085047 - timing_per_token_ms/adv:0.0005367183738463688 - timing_per_token_ms/update_actor:4.678469417440444 - perf/total_num_tokens:7407 - perf/time_per_step:55.59104411199223 - perf/throughput:66.62044325951187
step:270 - global_seqlen/min:3319 - global_seqlen/max:4099 - global_seqlen/minmax_diff:780 - global_seqlen/balanced_min:3709 - global_seqlen/balanced_max:3709 - global_seqlen/mean:3709.0 - actor/entropy:1.0415228605270386 - perf/mfu/actor_infer:0 - actor/pg_loss:-1.8694845493882895e-07 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.5451333522796631 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:29.596946716308594 - actor/lr:1e-05 - training/global_step:270 - training/epoch:0 - train/reward_mean:1.4858383802929893 - critic/score/mean:1.4858382940292358 - critic/score/max:5.68070650100708 - critic/score/min:-5.6403703689575195 - critic/rewards/mean:1.4858382940292358 - critic/rewards/max:5.68070650100708 - critic/rewards/min:-5.6403703689575195 - critic/advantages/mean:-0.004720225464552641 - critic/advantages/max:1.890514612197876 - critic/advantages/min:-2.176758289337158 - critic/returns/mean:-0.004720225464552641 - critic/returns/max:1.890514612197876 - critic/returns/min:-2.176758289337158 - response_length/mean:91.28125 - response_length/max:96.0 - response_length/min:62.0 - response_length/clip_ratio:0.65625 - response_length_non_aborted/mean:91.28125 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:62.0 - response_length_non_aborted/clip_ratio:0.65625 - response/aborted_ratio:0.0 - prompt_length/mean:24.625 - prompt_length/max:54.0 - prompt_length/min:10.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:9.118299931287766e-05 - timing_s/agent_loop/generate_sequences/min:0.9058245940832421 - timing_s/agent_loop/generate_sequences/max:4.309751812019385 - timing_s/agent_loop/generate_sequences/mean:1.7665388045115833 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.309751812019385 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:10.792239607078955 - timing_s/reward:0.2444736260222271 - timing_s/old_log_prob:9.560343284974806 - timing_s/adv:0.004516788991168141 - timing_s/update_actor:34.52401308203116 - timing_s/step:55.14900352398399 - timing_s/stop_profile:0.00010966300033032894 - timing_per_token_ms/gen:1.8473535787536726 - timing_per_token_ms/adv:0.0006088957928239608 - timing_per_token_ms/update_actor:4.654086422490046 - perf/total_num_tokens:7418 - perf/time_per_step:55.14900352398399 - perf/throughput:67.25416168919492
step:271 - global_seqlen/min:3128 - global_seqlen/max:3787 - global_seqlen/minmax_diff:659 - global_seqlen/balanced_min:3452 - global_seqlen/balanced_max:3463 - global_seqlen/mean:3457.5 - actor/entropy:1.2172783613204956 - perf/mfu/actor_infer:0 - actor/pg_loss:1.4071702025830746e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.5508599281311035 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:29.596744537353516 - actor/lr:1e-05 - training/global_step:271 - training/epoch:0 - train/reward_mean:1.6588749376824126 - critic/score/mean:1.6588749885559082 - critic/score/max:5.416827201843262 - critic/score/min:-3.3751144409179688 - critic/rewards/mean:1.6588749885559082 - critic/rewards/max:5.416827201843262 - critic/rewards/min:-3.3751144409179688 - critic/advantages/mean:-0.008327972143888474 - critic/advantages/max:1.7127373218536377 - critic/advantages/min:-2.1607916355133057 - critic/returns/mean:-0.008327972143888474 - critic/returns/max:1.7127373218536377 - critic/returns/min:-2.1607916355133057 - response_length/mean:86.171875 - response_length/max:96.0 - response_length/min:17.0 - response_length/clip_ratio:0.578125 - response_length_non_aborted/mean:86.171875 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:17.0 - response_length_non_aborted/clip_ratio:0.578125 - response/aborted_ratio:0.0 - prompt_length/mean:21.875 - prompt_length/max:57.0 - prompt_length/min:13.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:8.656294085085392e-05 - timing_s/agent_loop/generate_sequences/min:0.3226174599258229 - timing_s/agent_loop/generate_sequences/max:3.952251179027371 - timing_s/agent_loop/generate_sequences/mean:1.4178277358769265 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:3.952251179027371 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:13 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:10.381239542970434 - timing_s/reward:0.2241651579970494 - timing_s/old_log_prob:9.454668947029859 - timing_s/adv:0.0019881270127370954 - timing_s/update_actor:34.50839829805773 - timing_s/step:54.597748558968306 - timing_s/stop_profile:0.00011331296991556883 - timing_per_token_ms/gen:1.8823643776918284 - timing_per_token_ms/adv:0.00028750932939075857 - timing_per_token_ms/update_actor:4.990368517434234 - perf/total_num_tokens:6915 - perf/time_per_step:54.597748558968306 - perf/throughput:63.32678711587762
step:272 - global_seqlen/min:3274 - global_seqlen/max:3587 - global_seqlen/minmax_diff:313 - global_seqlen/balanced_min:3430 - global_seqlen/balanced_max:3431 - global_seqlen/mean:3430.5 - actor/entropy:1.13750422000885 - perf/mfu/actor_infer:0 - actor/pg_loss:-6.28206180408597e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.5935015678405762 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:29.574913024902344 - actor/lr:1e-05 - training/global_step:272 - training/epoch:0 - train/reward_mean:2.920601377263665 - critic/score/mean:2.9206013679504395 - critic/score/max:5.739607810974121 - critic/score/min:-2.5373048782348633 - critic/rewards/mean:2.9206013679504395 - critic/rewards/max:5.739607810974121 - critic/rewards/min:-2.5373048782348633 - critic/advantages/mean:0.00554509274661541 - critic/advantages/max:1.8420147895812988 - critic/advantages/min:-2.3101987838745117 - critic/returns/mean:0.00554509274661541 - critic/returns/max:1.8420147895812988 - critic/returns/min:-2.3101987838745117 - response_length/mean:88.828125 - response_length/max:96.0 - response_length/min:48.0 - response_length/clip_ratio:0.625 - response_length_non_aborted/mean:88.828125 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:48.0 - response_length_non_aborted/clip_ratio:0.625 - response/aborted_ratio:0.0 - prompt_length/mean:18.375 - prompt_length/max:26.0 - prompt_length/min:12.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:9.452307131141424e-05 - timing_s/agent_loop/generate_sequences/min:0.6914410149911419 - timing_s/agent_loop/generate_sequences/max:4.171865037991665 - timing_s/agent_loop/generate_sequences/mean:1.6145878279712633 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.171865037991665 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:10.756577703054063 - timing_s/reward:0.2053858139552176 - timing_s/old_log_prob:9.522458476014435 - timing_s/adv:0.004297671956010163 - timing_s/update_actor:34.15817270090338 - timing_s/step:54.670592691982165 - timing_s/stop_profile:0.0001090239966288209 - timing_per_token_ms/gen:1.8920981008010664 - timing_per_token_ms/adv:0.000626391481709687 - timing_per_token_ms/update_actor:4.978599723204107 - perf/total_num_tokens:6861 - perf/time_per_step:54.670592691982165 - perf/throughput:62.74854233477347
step:273 - global_seqlen/min:3065 - global_seqlen/max:3378 - global_seqlen/minmax_diff:313 - global_seqlen/balanced_min:3221 - global_seqlen/balanced_max:3222 - global_seqlen/mean:3221.5 - actor/entropy:1.0838310718536377 - perf/mfu/actor_infer:0 - actor/pg_loss:9.243376553058624e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.6652030944824219 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:29.601341247558594 - actor/lr:1e-05 - training/global_step:273 - training/epoch:0 - train/reward_mean:3.233311184332706 - critic/score/mean:3.233311176300049 - critic/score/max:5.802112579345703 - critic/score/min:-2.5473999977111816 - critic/rewards/mean:3.233311176300049 - critic/rewards/max:5.802112579345703 - critic/rewards/min:-2.5473999977111816 - critic/advantages/mean:0.0061370693147182465 - critic/advantages/max:1.8251652717590332 - critic/advantages/min:-1.9022738933563232 - critic/returns/mean:0.0061370693147182465 - critic/returns/max:1.8251652717590332 - critic/returns/min:-1.9022738933563232 - response_length/mean:85.671875 - response_length/max:96.0 - response_length/min:28.0 - response_length/clip_ratio:0.640625 - response_length_non_aborted/mean:85.671875 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:28.0 - response_length_non_aborted/clip_ratio:0.640625 - response/aborted_ratio:0.0 - prompt_length/mean:15.0 - prompt_length/max:20.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:7.792201358824968e-05 - timing_s/agent_loop/generate_sequences/min:0.39764369395561516 - timing_s/agent_loop/generate_sequences/max:4.110617264988832 - timing_s/agent_loop/generate_sequences/mean:1.553534828553893 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.110617264988832 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:10.75715381896589 - timing_s/reward:0.19666337606031448 - timing_s/old_log_prob:9.397518050973304 - timing_s/adv:0.004190209088847041 - timing_s/update_actor:34.26005791092757 - timing_s/step:54.64072278200183 - timing_s/stop_profile:0.00011024298146367073 - timing_per_token_ms/gen:1.9619102350840578 - timing_per_token_ms/adv:0.000650350626858147 - timing_per_token_ms/update_actor:5.317407715493958 - perf/total_num_tokens:6443 - perf/time_per_step:54.64072278200183 - perf/throughput:58.95785846121958
step:274 - global_seqlen/min:3093 - global_seqlen/max:3174 - global_seqlen/minmax_diff:81 - global_seqlen/balanced_min:3133 - global_seqlen/balanced_max:3134 - global_seqlen/mean:3133.5 - actor/entropy:1.0885241031646729 - perf/mfu/actor_infer:0 - actor/pg_loss:-5.3405528888106346e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.6831381320953369 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:29.544010162353516 - actor/lr:1e-05 - training/global_step:274 - training/epoch:0 - train/reward_mean:2.8223404502496123 - critic/score/mean:2.822340250015259 - critic/score/max:5.724480628967285 - critic/score/min:-2.754566192626953 - critic/rewards/mean:2.822340250015259 - critic/rewards/max:5.724480628967285 - critic/rewards/min:-2.754566192626953 - critic/advantages/mean:-0.006339553743600845 - critic/advantages/max:1.7011597156524658 - critic/advantages/min:-1.9678263664245605 - critic/returns/mean:-0.006339553743600845 - critic/returns/max:1.7011597156524658 - critic/returns/min:-1.9678263664245605 - response_length/mean:82.296875 - response_length/max:96.0 - response_length/min:27.0 - response_length/clip_ratio:0.515625 - response_length_non_aborted/mean:82.296875 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:27.0 - response_length_non_aborted/clip_ratio:0.515625 - response/aborted_ratio:0.0 - prompt_length/mean:15.625 - prompt_length/max:24.0 - prompt_length/min:10.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:8.452299516648054e-05 - timing_s/agent_loop/generate_sequences/min:0.4582173180533573 - timing_s/agent_loop/generate_sequences/max:4.095682630082592 - timing_s/agent_loop/generate_sequences/mean:1.442992259917446 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.095682630082592 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:10 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:11.21474994905293 - timing_s/reward:0.19054793193936348 - timing_s/old_log_prob:9.589973227935843 - timing_s/adv:0.003997643943876028 - timing_s/update_actor:34.18482278008014 - timing_s/step:55.209514596965164 - timing_s/stop_profile:0.00012590305414050817 - timing_per_token_ms/gen:2.1292481391784563 - timing_per_token_ms/adv:0.0006378879757261893 - timing_per_token_ms/update_actor:5.4547347662486265 - perf/total_num_tokens:6267 - perf/time_per_step:55.209514596965164 - perf/throughput:56.75652145965881
step:275 - global_seqlen/min:3100 - global_seqlen/max:3951 - global_seqlen/minmax_diff:851 - global_seqlen/balanced_min:3525 - global_seqlen/balanced_max:3526 - global_seqlen/mean:3525.5 - actor/entropy:1.0177940130233765 - perf/mfu/actor_infer:0 - actor/pg_loss:9.61372279562056e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.6600455045700073 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:29.592323303222656 - actor/lr:1e-05 - training/global_step:275 - training/epoch:0 - train/reward_mean:2.49568960457691 - critic/score/mean:2.495689630508423 - critic/score/max:5.698379039764404 - critic/score/min:-1.690238356590271 - critic/rewards/mean:2.495689630508423 - critic/rewards/max:5.698379039764404 - critic/rewards/min:-1.690238356590271 - critic/advantages/mean:0.015528588555753231 - critic/advantages/max:1.852359414100647 - critic/advantages/min:-2.164498805999756 - critic/returns/mean:0.015528588555753231 - critic/returns/max:1.852359414100647 - critic/returns/min:-2.164498805999756 - response_length/mean:87.171875 - response_length/max:96.0 - response_length/min:47.0 - response_length/clip_ratio:0.53125 - response_length_non_aborted/mean:87.171875 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:47.0 - response_length_non_aborted/clip_ratio:0.53125 - response/aborted_ratio:0.0 - prompt_length/mean:23.0 - prompt_length/max:57.0 - prompt_length/min:12.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:0.00011839403305202723 - timing_s/agent_loop/generate_sequences/min:0.7019509540405124 - timing_s/agent_loop/generate_sequences/max:4.126046203891747 - timing_s/agent_loop/generate_sequences/mean:1.513115602048856 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.126046203891747 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:10.375307514099404 - timing_s/reward:0.22432772303000093 - timing_s/old_log_prob:9.48497186996974 - timing_s/adv:0.004292162018828094 - timing_s/update_actor:33.82346248801332 - timing_s/step:53.943766910000704 - timing_s/stop_profile:0.00011060293763875961 - timing_per_token_ms/gen:1.85970738736322 - timing_per_token_ms/adv:0.0006087309628177697 - timing_per_token_ms/update_actor:4.796973831798797 - perf/total_num_tokens:7051 - perf/time_per_step:53.943766910000704 - perf/throughput:65.35509479495403
step:276 - global_seqlen/min:3446 - global_seqlen/max:3592 - global_seqlen/minmax_diff:146 - global_seqlen/balanced_min:3513 - global_seqlen/balanced_max:3525 - global_seqlen/mean:3519.0 - actor/entropy:1.1545443534851074 - perf/mfu/actor_infer:0 - actor/pg_loss:4.575122147798538e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.6336489915847778 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:29.584484100341797 - actor/lr:1e-05 - training/global_step:276 - training/epoch:0 - train/reward_mean:3.0489692036644556 - critic/score/mean:3.048969030380249 - critic/score/max:5.6464128494262695 - critic/score/min:-0.9454934597015381 - critic/rewards/mean:3.048969030380249 - critic/rewards/max:5.6464128494262695 - critic/rewards/min:-0.9454934597015381 - critic/advantages/mean:0.009737838059663773 - critic/advantages/max:1.6492639780044556 - critic/advantages/min:-2.220839500427246 - critic/returns/mean:0.009737838059663773 - critic/returns/max:1.6492639780044556 - critic/returns/min:-2.220839500427246 - response_length/mean:90.59375 - response_length/max:96.0 - response_length/min:32.0 - response_length/clip_ratio:0.734375 - response_length_non_aborted/mean:90.59375 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:32.0 - response_length_non_aborted/clip_ratio:0.734375 - response/aborted_ratio:0.0 - prompt_length/mean:19.375 - prompt_length/max:28.0 - prompt_length/min:13.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:9.247299749404192e-05 - timing_s/agent_loop/generate_sequences/min:0.5124179099220783 - timing_s/agent_loop/generate_sequences/max:4.546315031941049 - timing_s/agent_loop/generate_sequences/mean:1.9463367825173918 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.546315031941049 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:14 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:11.054363246075809 - timing_s/reward:0.19869585405103862 - timing_s/old_log_prob:9.472387110930867 - timing_s/adv:0.00406147597823292 - timing_s/update_actor:34.283670602948405 - timing_s/step:55.037881762953475 - timing_s/stop_profile:0.0001549939624965191 - timing_per_token_ms/gen:1.906582139716421 - timing_per_token_ms/adv:0.0005770781441081159 - timing_per_token_ms/update_actor:4.8712234445792 - perf/total_num_tokens:7038 - perf/time_per_step:55.037881762953475 - perf/throughput:63.937780439229634
step:277 - global_seqlen/min:3332 - global_seqlen/max:3472 - global_seqlen/minmax_diff:140 - global_seqlen/balanced_min:3402 - global_seqlen/balanced_max:3402 - global_seqlen/mean:3402.0 - actor/entropy:1.1057344675064087 - perf/mfu/actor_infer:0 - actor/pg_loss:3.7180143408477306e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.5947848558425903 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:29.582199096679688 - actor/lr:1e-05 - training/global_step:277 - training/epoch:0 - train/reward_mean:3.287151288590394 - critic/score/mean:3.287151336669922 - critic/score/max:5.625316143035889 - critic/score/min:-2.2647159099578857 - critic/rewards/mean:3.287151336669922 - critic/rewards/max:5.625316143035889 - critic/rewards/min:-2.2647159099578857 - critic/advantages/mean:-0.008469571359455585 - critic/advantages/max:1.7695671319961548 - critic/advantages/min:-2.0306458473205566 - critic/returns/mean:-0.008469571359455585 - critic/returns/max:1.7695671319961548 - critic/returns/min:-2.0306458473205566 - response_length/mean:90.6875 - response_length/max:96.0 - response_length/min:48.0 - response_length/clip_ratio:0.734375 - response_length_non_aborted/mean:90.6875 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:48.0 - response_length_non_aborted/clip_ratio:0.734375 - response/aborted_ratio:0.0 - prompt_length/mean:15.625 - prompt_length/max:21.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:0.00012318301014602184 - timing_s/agent_loop/generate_sequences/min:0.6728949169628322 - timing_s/agent_loop/generate_sequences/max:4.24408695299644 - timing_s/agent_loop/generate_sequences/mean:1.7166999866476544 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.24408695299644 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:12 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:10.796831887913868 - timing_s/reward:0.2305386100197211 - timing_s/old_log_prob:9.477736783912405 - timing_s/adv:0.004045805078931153 - timing_s/update_actor:34.47156125900801 - timing_s/step:55.00625711295288 - timing_s/stop_profile:0.00010880304034799337 - timing_per_token_ms/gen:1.860239815284953 - timing_per_token_ms/adv:0.0005946215577500224 - timing_per_token_ms/update_actor:5.0663670280729 - perf/total_num_tokens:6804 - perf/time_per_step:55.00625711295288 - perf/throughput:61.84750932996851
step:278 - global_seqlen/min:3142 - global_seqlen/max:3612 - global_seqlen/minmax_diff:470 - global_seqlen/balanced_min:3377 - global_seqlen/balanced_max:3377 - global_seqlen/mean:3377.0 - actor/entropy:1.120144009590149 - perf/mfu/actor_infer:0 - actor/pg_loss:-7.386552169919014e-08 - actor/kl_loss:0.0 - actor/pg_clipfrac:0.0 - actor/ppo_kl:0.0 - actor/pg_clipfrac_lower:0.0 - actor/grad_norm:0.6438093781471252 - perf/mfu/actor:0.0 - perf/max_memory_allocated_gb:24.652024269104004 - perf/max_memory_reserved_gb:25.26953125 - perf/cpu_memory_used_gb:29.58214569091797 - actor/lr:1e-05 - training/global_step:278 - training/epoch:0 - train/reward_mean:3.2825606567785144 - critic/score/mean:3.2825608253479004 - critic/score/max:5.771379470825195 - critic/score/min:-2.2542309761047363 - critic/rewards/mean:3.2825608253479004 - critic/rewards/max:5.771379470825195 - critic/rewards/min:-2.2542309761047363 - critic/advantages/mean:0.020360687747597694 - critic/advantages/max:1.563522458076477 - critic/advantages/min:-2.38948917388916 - critic/returns/mean:0.020360687747597694 - critic/returns/max:1.563522458076477 - critic/returns/min:-2.38948917388916 - response_length/mean:86.03125 - response_length/max:96.0 - response_length/min:40.0 - response_length/clip_ratio:0.5625 - response_length_non_aborted/mean:86.03125 - response_length_non_aborted/max:96.0 - response_length_non_aborted/min:40.0 - response_length_non_aborted/clip_ratio:0.5625 - response/aborted_ratio:0.0 - prompt_length/mean:19.5 - prompt_length/max:38.0 - prompt_length/min:11.0 - prompt_length/clip_ratio:0.0 - num_turns/min:2 - num_turns/max:2 - num_turns/mean:2.0 - timing_s/start_profile:0.00010250299237668514 - timing_s/agent_loop/generate_sequences/min:0.5845436030067503 - timing_s/agent_loop/generate_sequences/max:4.016693381941877 - timing_s/agent_loop/generate_sequences/mean:1.4012117135462177 - timing_s/agent_loop/tool_calls/min:0.0 - timing_s/agent_loop/tool_calls/max:0.0 - timing_s/agent_loop/tool_calls/mean:0.0 - timing_s/agent_loop/slowest/generate_sequences:4.016693381941877 - timing_s/agent_loop/slowest/tool_calls:0.0 - timing_s/agent_loop/slowest/prompt_length:16 - timing_s/agent_loop/slowest/response_length:96 - timing_s/gen:10.796742295031436 - timing_s/reward:0.22121671494096518 - timing_s/old_log_prob:9.41432408906985 - timing_s/adv:0.003949961974285543 - timing_s/update_actor:34.52876451704651 - timing_s/step:54.98920896695927 - timing_s/stop_profile:0.00013623398263007402 - timing_per_token_ms/gen:1.960904884676977 - timing_per_token_ms/adv:0.0005848329840517535 - timing_per_token_ms/update_actor:5.112342984460543 - perf/total_num_tokens:6754 - perf/time_per_step:54.98920896695927 - perf/throughput:61.41204908092239
